"Titolo","Attachments","data","msg","nome","viaggio","route-code","Risposta da Verdenatura","Lingue"
"Maria Teresa – G057","","2016-09-28","Complessivamente è stata una bella vacanza possiamo segnalare alcune cose che si potrebbero migliorare : - abbiamo avuto qualche difficoltà a trovare i collegamenti con il sentiero mare e monti, poco segnalati cartelli rotti o mancanti! qualche disagio nelle strutture ricettive , soprattutto quella di porto per il resto tutto ok! vi allego qualche foto ringrazio la sig.ra rossella daolio con la quale ho collaborato nella stesura del programma cordiali saluti maria teresa","Maria Teresa","","G057","",""
"Mery – GW108","","2017-12-29","Ho trovato molto interessante il giro perchè ci ha mostrato parti insolite di Venezia e della sua laguna, quelle di solito tralasciate dai flussi turistici. Il tour era ben organizzato nella tempistica e nell'uso dei mezzi di trasporto. Il nostro accompagnatore era preparato, disponibile e ha saputo creare il giusto clima nel gruppo.
 Io ho prenotato negli ultimi giorni senza alcuna difficoltà","Mery","","GW108","",""
"Laura & Paolo – G300","https://www.verde-natura.it/wpsite/wp-content/uploads/G300-commento-03-g.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G300-commento-03-d.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G300-commento-03-c.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G300-commento-03-b.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G300-commento-03-a.jpg","2012-01-26","Bellissima esperienza, bellissima vacanza e bellissimi panorami!!
 cene in barca favolose che ripagano le fatiche fatte durante le salite della bellissima costiera amalfitana.
 grazie per la bella vacanza a marcello (la guida) tommaso (il capitano) e....ernesto ( impagabile!!!!)","Laura & Paolo","","G300","",""
"Sven – G300","","2012-03-09","Abbiamo fatto uno splendido viaggio lungo la costiera amalfitana. buon equipaggio e fantastica barca. cibo, sole e una grande guida! siamo molto soddisfatti, grazie!","Sven","","G300","",""
"Piergiorgio S. – L117","","2013-08-30","Gentilissima signora gasperini, mi permetta di esprimervi la soddisfazione, anche del gruppo, per la recente vacanza in vandea. vii confermo l’ottimo servizio, itinerari facilmente percorribili, località amene, servizi alberghieri più che buoni ed eccellente il soggiorno a bouin, complimenti, assistiti da un sole sempre splendente ed una temperatura sui 24 gradi ….è stato bellissimo! il più bello come paesaggi ed ambiente rimane quello del “morbihan” ma questo lo supera per i servizi alberghieri ed i percorsi ciclabili.","Piergiorgio S.","","L117","",""
"Laura e Riccardo – L117","","2013-08-05","Viaggio in vandea bellissimo, anche se un poco più impegnativo del previsto a causa dell'imprevedibilità del meteo e di alcuni sterrati. unica nota negativa il soggiorno a le martinet di bouin: paese lontano, albergo apparentemente lussuoso ma camere spartane bagno poco pulito; al ristorante scortesi; paese piccolo e lontano da tutto (anche se abbiamo scoperto una fattoria dove mangiare ed eventualmente dormire favolosa). un consiglio: avvertire che si può arrivare a nourmontier in bici e poi girarla con i bus gratis che passano spesso, così non ci si spaventa per i 75 km + 18 a scelta. organizzazione eccellente: negli alberghi tutti molto gentili, preparati e mai nessun problema. anche il noleggio bici disponibilissimo e pure simpatico. grazie e alla prossima! laura e riccardo","Laura e Riccardo","","L117","",""
"BORIS CAPACCIOLI – L117","","2017-08-19","Organizzato bene e con strutture buone come alberghi e orribili come ristoranti (fatta eccezione del ristorante a Bouin che è superlativo). Il viaggio è stato molto bello, posti intriganti, accompagnati da un sole bellissimo per tutta la settimana. La parte odiosa è l'obbligo della mezza pensione ed ancora più odioso è come vieni accolto dai ristoranti (eccetto Le Martinet a Bouin) che ti vivono come un intruso e ti danno cibi non in menù senza neanche preoccuparsi che tu voglia strettamente stare a quello che ti passano. In più di un occasione avrei voluto andare fuori dal menu proposto spendendo di più ma l'indisponibilità che ho trovato non mi ha neanche dato la voglia di far guadagnare più soldi a questi signori. Alla fine abbiamo addirittura scelto di non mangiare in questi ristoranti andando a spendere molto di più in altri ristoranti migliori.
 Il ristorante Avano a St..Gilles è stato il peggiore in assoluto, ho fatto una recensione su Tripadvisor devastante. Quindi il consiglio costruttivo che posso dare all'organizzazione è quello di togliere la mezza pensione o mettere i clienti nella possibilità di scelta andando fuori dal menù proposto. Ovviamente una nota di assoluto merito e rispetto va alla struttura di Bouin sia come albergo che come ristorazione. Il ristorante Le Martinet è tutto il contrario dell'Avano di St.. Gilles, cordialità e professionalità si percepiscono in ogni angolo della struttura. In quest'ultimo ristorante si mangia benissimo,  coccolati dal personale di sala che è gentilissimo e disponibilissimo. Per tutto il resto il viaggio è molto bello e ben organizzato.","BORIS CAPACCIOLI","","L117","",""
"Nives R. – L117","","2013-08-06","La vacanza in vandea è sta complessivamente una bella vacanza. - l'organizzazione è stata buona (consiglierei però che ogni coppia abbia i suoi documenti personali e non di gruppo. inoltre per rendere davvero percorribili alcune mete consiglierei la possibilità di affidarsi a voi per organizzare il volo aereo ed eventuali trasferimenti per raggiungere la partenza del tour) - gli alberghi erano complessivamente confortevoli e di buona qualità, anche se non particolarmente caratteristici o in posizioni speciali. eviterei il soggiorno a bouin perché decisamente troppo fuori mano, nonostante il paesino sia carino. - non essendo particolarmente sportiva ho fatto comunque fatica ad affrontare il tour che non è così banale, soprattutto quando si viaggia con vento contrario per lunghi percorsi o si affronta continui saliscendi lungo la pista ciclabile nel bosco che affianca il mare o quando si percorrono con bici da città piccoli sentieri più facili da affrontare con montainbikes. -avevo fatto richiesta di bici elettrica che non era disponibile (anche se poi presso centro che le affittava erano di fatto disponibili). il penultimo giorno - causa vento sopra citato - ho interrotto il tour e chiamato il centro assistenza che ha chiesto 50 euro per recapitare la bici da saint jean de mount a les sabbles d'olonne. - mi sarebbe piaciuto ricevere sulla vandaea, anche perchè non è di fatto facile reperire una guida turistica sulla zona dall'italia - consiglierei di suggerire per chi è stanco soluzioni alternative a metà vacanza (ad esempio noi eravamo piuttosto vicino a nantes ed ho scoperto che partiva un bus per la città tutti i giorni da bouin) - consiglierei di offrire una cartina complessiva e dettagliata della regione invece delle fotocopie di singole porzioni, sulla quale eventualmente ritrovare evidenziati i percorsi giornalieri. è molto più chiaro ed efficace.","Nives R.","","L117","",""
"Maurilio Oldani  e Alice Murello – G258","https://www.verde-natura.it/wpsite/wp-content/uploads/20180811_212130.jpg","2018-08-11","L'Olanda incontra il Belgio - La nostra esperienza è stata molto positiva, sotto tutti i punti di vista: organizzativo,  culturale,  paesaggistico  e  gastronomico. Sicuramente da ripetere verso altre destinazioni.","Maurilio Oldani  e Alice Murello","","G258","",""
"Ivan – G030","https://www.verde-natura.it/wpsite/wp-content/uploads/4-1.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/3-1.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/2-1.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/1-1.jpg","2018-12-29","E'stata una bellissima esperienza. Guida molto competente, gruppo affiatato. Programma perfetto. Da rifare.","Ivan","G030 - Trekking di Capodanno in Costiera Amalfitana","G030","",""
